# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov 11 05:36:40 2015
#
# CONSTRAINT:  where (koi_disposition like 'CONFIRMED'
# CONSTRAINT:  )
# CONSTRAINT:  order by rowid asc, koi_period desc
#
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
#
rowid	kepler_name	koi_disposition	koi_period	koi_period_err1	koi_period_err2	koi_prad	koi_prad_err1	koi_prad_err2	koi_teq	koi_teq_err1	koi_teq_err2	koi_steff	koi_steff_err1	koi_steff_err2	koi_slogg	koi_slogg_err1	koi_slogg_err2	koi_srad	koi_srad_err1	koi_srad_err2
1	Kepler-227 b	CONFIRMED	9.488031460	2.9500000e-05	-2.9500000e-05	3.10	1.380e+00	-3.400e-01	881.0			5850.00	169.00	-198.00	4.426	0.068	-0.296	1.0400	0.4650	-0.1140
2	Kepler-227 c	CONFIRMED	54.418464000	2.6860000e-04	-2.6860000e-04	3.10	1.390e+00	-3.400e-01	492.0			5850.00	169.00	-198.00	4.426	0.068	-0.296	1.0400	0.4650	-0.1140
6	Kepler-228 d	CONFIRMED	11.094319230	2.1370000e-05	-2.1370000e-05	4.02	1.710e+00	-3.700e-01	835.0			6046.00	163.00	-217.00	4.486	0.045	-0.302	0.9720	0.4140	-0.0900
7	Kepler-228 c	CONFIRMED	4.134430050	1.0610000e-05	-1.0610000e-05	3.02	1.290e+00	-2.800e-01	1160.0			6046.00	163.00	-217.00	4.486	0.045	-0.302	0.9720	0.4140	-0.0900
8	Kepler-228 b	CONFIRMED	2.566590920	1.5980000e-05	-1.5980000e-05	1.56	6.600e-01	-1.500e-01	1360.0			6046.00	163.00	-217.00	4.486	0.045	-0.302	0.9720	0.4140	-0.0900
10	Kepler-229 c	CONFIRMED	16.068629590	1.1600000e-05	-1.1600000e-05	5.27	8.900e-01	-3.900e-01	571.0			5126.00	160.00	-138.00	4.609	0.027	-0.106	0.7420	0.1250	-0.0550
11	Kepler-1 b	CONFIRMED	2.470613385	1.9000000e-08	-1.9000000e-08	12.85	2.700e-01	-2.700e-01	1344.0			5850.00	50.00	-50.00	4.455	0.025	-0.025	0.9500	0.0200	-0.0200
12	Kepler-2 b	CONFIRMED	2.204735365	3.8000000e-08	-3.8000000e-08	16.39	1.500e-01	-1.400e-01	2025.0			6350.00	80.00	-80.00	4.021	0.011	-0.011	1.9910	0.0180	-0.0180
13	Kepler-8 b	CONFIRMED	3.522498573	1.9400000e-07	-1.9400000e-07	14.83	1.190e+00	-1.320e+00	1521.0			6225.00	114.00	-158.00	4.169	0.055	-0.048	1.4510	0.1170	-0.1290
22	Kepler-226 c	CONFIRMED	5.349556710	9.1410000e-06	-9.1410000e-06	2.70	1.000e+00	-2.000e-01	918.0			5559.00	167.00	-141.00	4.572	0.028	-0.242	0.8060	0.2970	-0.0600
23	Kepler-226 b	CONFIRMED	3.941046320	1.1600000e-05	-1.1600000e-05	1.59	5.800e-01	-1.200e-01	1017.0			5559.00	167.00	-141.00	4.572	0.028	-0.242	0.8060	0.2970	-0.0600
